timestamp,open,high,low,close,volume,trade_count,buy_volume,sell_volume
1773348300,2064.3991129032624,2064.3991129032624,2064.3955809023346,2064.3955809023346,3650.5633430356593,0,0,0
1773348600,2064.3955809023346,2064.588564447986,2064.3955809023346,2064.588564447986,401.02334977329895,0,0,0
1773348900,2064.588564447986,2067.1170725603147,2061.375677163687,2061.962609227901,50015.37067550134,0,0,0
1773349200,2061.962609227901,2067.3776470142684,2061.962609227901,2067.0685680268457,61866.532920736434,0,0,0
1773349800,2067.0685680268457,2067.1464449709497,2066.8304076184186,2066.8594738146835,4393.16406205524,0,0,0
1773350400,2066.8594738146835,2070.123163298098,2064.896306198481,2066.0403825257113,7201.160757741943,0,0,0
1773351000,2066.0403825257113,2066.0403825257113,2063.68788306073,2063.693999981077,450.1852556121056,0,0,0
1773351300,2063.693999981077,2064.5165278671248,2063.4309040155285,2064.3039730492146,44042.42429665497,0,0,0
1773351600,2064.3039730492146,2064.7344879648053,2057.164018950791,2064.7344879648053,82209.7718338991,0,0,0
1773351900,2064.7344879648053,2064.7344879648053,2056.361536653343,2061.497291706646,81929.90182807509,0,0,0
1773352200,2061.497291706646,2063.3817412255125,2060.6606875340403,2060.748501535963,37261.296144875116,0,0,0
1773352500,2060.748501535963,2065.5960899143306,2058.3458083456753,2059.4059342794676,107678.70436322519,0,0,0
1773352800,2059.4059342794676,2063.1887941271752,2057.233182364196,2063.0077582831173,83931.59727843573,0,0,0
1773353100,2063.0077582831173,2063.6238623138897,2057.9482744844076,2063.6238623138897,34865.02191004513,0,0,0
1773353400,2063.6238623138897,2063.6238623138897,2056.010044968409,2060.4442450171077,17711.896973558538,0,0,0
1773353700,2060.4442450171077,2062.649230203374,2057.603363390845,2058.3009604091662,136221.73903597775,0,0,0
1773354000,2058.3009604091662,2065.2567451788586,2058.3009604091662,2062.3141145873283,90809.19021437375,0,0,0
1773354300,2062.3141145873283,2064.4801221524863,2057.0847047059165,2064.4801221524863,51637.35620532369,0,0,0
1773354600,2064.4801221524863,2070.04021759143,2062.9715863342553,2065.333766781113,40866.17753023407,0,0,0
1773354900,2065.333766781113,2068.005083959956,2062.8317844074504,2062.8317844074504,14252.841672977156,0,0,0
1773355200,2062.8317844074504,2063.284786540078,2062.76944873812,2063.284786540078,1093.7444509036884,0,0,0
1773355500,2063.284786540078,2063.284786540078,2057.711443497024,2060.867808032859,42587.466075781835,0,0,0
1773355800,2060.867808032859,2060.867808032859,2060.0245240371764,2060.235810417268,24286.36882166933,0,0,0
1773356100,2060.235810417268,2064.2903694727424,2058.74254275385,2064.2903694727424,78981.48997556407,0,0,0
1773356400,2064.2903694727424,2082.996249482296,2061.390440248464,2078.6396485076607,178110.6306873603,0,0,0
1773356700,2078.6396485076607,2081.129034922551,2073.596100513198,2078.965919468432,121550.53309340509,0,0,0
1773357000,2078.965919468432,2078.965919468432,2071.4151871806725,2074.778437280127,161951.72630320938,0,0,0
1773357300,2074.778437280127,2087.299446459659,2074.778437280127,2082.833610527398,137264.05205411612,0,0,0
1773357600,2082.833610527398,2092.8314821527224,2076.840576654845,2081.302678729924,246971.55755806735,0,0,0
1773357900,2081.302678729924,2089.3593153803768,2081.302678729924,2084.1796982247392,11260.00219886159,0,0,0
1773358200,2084.1796982247392,2086.861830949859,2081.475637347072,2081.893783480416,69477.31069339359,0,0,0
1773358500,2081.893783480416,2086.1590103270205,2080.2599625997727,2080.2599625997727,36752.995979446954,0,0,0
1773358800,2080.2599625997727,2087.413907593233,2079.639071038174,2082.2588509715415,49323.11691179419,0,0,0
1773359100,2082.2588509715415,2082.3311481252267,2074.3974050822185,2078.6487283967067,136568.89049384458,0,0,0
1773359400,2078.6487283967067,2082.8569263152235,2077.673579830971,2077.673579830971,45254.37898763249,0,0,0
1773359700,2077.673579830971,2079.2952399997075,2077.673579830971,2078.4254670014666,917.9841174432669,0,0,0
1773360000,2078.4254670014666,2078.4254670014666,2074.545922521797,2074.545922521797,7802.073882771159,0,0,0
1773360300,2074.545922521797,2079.8571249412907,2074.270516281801,2079.8571249412907,116691.01679897573,0,0,0
1773360600,2079.8571249412907,2083.9459419554937,2076.8810180367373,2083.9459419554937,99328.412063603,0,0,0
1773360900,2083.9459419554937,2125.8357292448804,2083.055907832714,2111.7788282587126,1405012.187611641,0,0,0
1773361200,2111.7788282587126,2140.1167333403996,2111.2710574228136,2133.6996292966496,2284316.5906007355,0,0,0
1773361500,2133.6996292966496,2138.0339589649298,2124.746781545776,2132.5062584990146,845434.0827808545,0,0,0
1773361800,2132.5062584990146,2149.6977693995996,2128.6628291057687,2144.751051720175,1679538.7782773066,0,0,0
1773362100,2144.751051720175,2147.776558908359,2135.289943463478,2135.289943463478,344283.1437299335,0,0,0
1773362400,2135.289943463478,2140.3324098680155,2123.3327277443072,2131.8715078348455,574168.8879038816,0,0,0
1773362700,2131.8715078348455,2131.8715078348455,2119.9028423071672,2123.849073465988,496844.15986131836,0,0,0
1773363000,2123.849073465988,2128.02278812055,2113.3924118331024,2113.3924118331024,471228.3730729746,0,0,0
1773363300,2113.3924118331024,2120.0462072905016,2107.627914182008,2118.430072129205,414374.04000543605,0,0,0
1773363600,2118.430072129205,2133.5061718179873,2105.8719018668535,2105.8719018668535,153354.73038541072,0,0,0
1773363900,2105.8719018668535,2128.4152241541337,2105.8719018668535,2124.966345440097,170366.6025797355,0,0,0
1773364200,2124.966345440097,2125.962312497397,2119.9158172987677,2125.962312497397,67712.98500598996,0,0,0
1773364500,2125.962312497397,2130.2067148925657,2122.063114402388,2122.7903031547276,172878.8657891508,0,0,0
1773364800,2122.7903031547276,2129.3403050558454,2117.376654195684,2124.049082491601,123987.56580708745,0,0,0
1773365100,2124.049082491601,2124.4683891222976,2115.6258083541506,2119.630143897971,536563.0346058492,0,0,0
1773365400,2119.630143897971,2125.015466092863,2116.439862106161,2124.9404110321434,193167.85419892907,0,0,0
1773365700,2124.9404110321434,2125.200989052633,2114.6372756973738,2114.6372756973738,166543.77970819938,0,0,0
1773366000,2114.6372756973738,2129.20891433633,2113.9374688634566,2124.236838375237,374460.9862093698,0,0,0
1773366300,2124.236838375237,2127.7389485298104,2124.23003786332,2127.7389485298104,63318.78205383308,0,0,0
1773366600,2127.7389485298104,2130.5878759961042,2124.3606694537634,2124.3606694537634,69307.93918634111,0,0,0
1773366900,2124.3606694537634,2128.1646542239937,2124.3606694537634,2128.1646542239937,12860.10646899844,0,0,0
1773367200,2128.1646542239937,2128.809718988912,2125.4887433985077,2128.23462627476,204515.10199780602,0,0,0
1773367500,2128.23462627476,2128.6813629340636,2126.367477056375,2126.5633953935676,46703.34293578587,0,0,0
1773367800,2126.5633953935676,2127.0734461468296,2124.643702247541,2124.643702247541,37094.00219223094,0,0,0
1773368100,2124.643702247541,2124.643702247541,2115.6859039635992,2122.792261940491,86776.6198711509,0,0,0
1773368400,2122.792261940491,2123.3843363249625,2113.6100073820326,2121.502721799341,290885.2937258192,0,0,0
1773368700,2121.502721799341,2121.502721799341,2117.783939419895,2118.6990437580957,1174.0041205311734,0,0,0
1773369000,2118.6990437580957,2121.0233374413415,2113.4669123808353,2117.9264688369362,407554.00599165994,0,0,0
1773369300,2117.9264688369362,2117.9264688369362,2109.2078505471413,2115.095295900063,189405.32747011405,0,0,0
1773369600,2115.095295900063,2115.354013858494,2112.1064771241427,2114.229012550685,92822.18684292483,0,0,0
1773369900,2114.229012550685,2114.229012550685,2104.0849871334303,2109.9070314566166,181072.20126157263,0,0,0
1773370200,2109.9070314566166,2110.152986436197,2101.490320320502,2101.490320320502,18584.14124707151,0,0,0
